verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
bulaş,3830,0.791649441918148,224,0.7392739273927392
soğu,3272,0.9013774104683195,184,0.8034934497816594
tutukla,5051,0.7343704565280604,203,0.7463235294117647
parla,7304,0.8062700077271222,252,0.7078651685393258
çabala,1858,0.8902731193100144,160,0.7843137254901961
zayıfla,3996,0.7816901408450704,203,0.7518518518518519
ser,9758,0.80009839291571,269,0.7451523545706371
kıyasla,3530,0.8503974945796193,174,0.7767857142857143
yut,5369,0.7753068592057761,288,0.7128712871287128
ertele,4950,0.7848422387823054,219,0.7275747508305648
okşa,2802,0.9082658022690437,185,0.8114035087719298
yar,25220,0.7294498756290855,310,0.6828193832599119
sin,10363,0.7971538461538461,272,0.7064935064935065
tara,2717,0.7868520127425427,196,0.8132780082987552
sök,1992,0.8331242158092849,215,0.7517482517482518
kov,4647,0.8287854467629748,233,0.7236024844720497
aldat,3757,0.8186968838526912,204,0.7311827956989247
cevapla,1536,0.8585802124091672,186,0.7982832618025751
kuşat,2943,0.7800159024648821,180,0.7792207792207793
nitele,10188,0.7565721075300758,228,0.6867469879518072
devret,4045,0.7715048636276941,207,0.7666666666666667
sav,5285,0.9146763586015922,259,0.7731343283582089
bayıl,2681,0.7880658436213992,184,0.7863247863247863
programla,1069,0.8614020950846092,121,0.8287671232876712
varsay,3507,0.8019666133089413,167,0.784037558685446
ör,23769,0.7379843517138599,293,0.6599099099099099
kalkış,2978,0.8682215743440234,208,0.7703703703703704
tıka,3096,0.7336492890995261,191,0.7670682730923695
bağışla,2581,0.8246006389776358,235,0.7833333333333333
kabullen,3302,0.8389227642276422,248,0.7607361963190185
becer,4396,0.7223135064081498,216,0.7397260273972602
sıçra,2317,0.8036767256330212,209,0.7827715355805244
eğit,4069,0.7219659332860184,204,0.7285714285714285
bürü,2785,0.8480511571254568,192,0.7300380228136882
hallet,3272,0.8204613841524574,222,0.7254901960784313
sıyır,1019,0.8428453267162944,166,0.7980769230769231
faydalan,2786,0.8070683661645423,204,0.7338129496402878
çırp,2157,0.9047818791946308,168,0.7466666666666667
önemse,4280,0.7611595233860928,192,0.7413127413127413
dışla,3521,0.7687772925764192,210,0.7720588235294118
kabar,3557,0.7833076414886588,177,0.7972972972972973
borçlan,22,0.8461538461538461,14,0.7777777777777778
yaşlan,350,0.9803921568627451,69,0.9452054794520548
nitelen,8082,0.7192951228195087,215,0.6957928802588996
ayaklan,2343,0.8464595375722543,136,0.7555555555555555
üşü,9534,0.8214716525934861,267,0.6953125
farket,3421,0.8072203869749882,210,0.7216494845360825
çürü,3061,0.7952714990906729,202,0.7651515151515151
şiş,1684,0.7920978363123237,152,0.7916666666666666
yırt,3389,0.7509417239087082,218,0.7898550724637681
yinele,2930,0.8507549361207898,190,0.7851239669421488
affet,3286,0.762589928057554,225,0.7165605095541401
gözet,3563,0.8313112459169388,207,0.7638376383763837
yücel,3021,0.7253301320528212,195,0.7587548638132295
dalgalan,366,0.915,88,0.8380952380952381
bilgilen,450,0.7305194805194806,100,0.7751937984496124
sinirlen,224,0.896,31,0.8378378378378378
kıs,12497,0.7833636306650786,271,0.6966580976863753
del,8761,0.8194743241979234,251,0.6914600550964187
görevlen,473,0.7091454272863568,89,0.7542372881355932
kastet,2598,0.8955532574974147,137,0.7445652173913043
serp,2368,0.7515074579498572,169,0.786046511627907
irdele,3516,0.860078277886497,174,0.759825327510917
emret,2502,0.8757437871893594,137,0.7569060773480663
sınıfla,1137,0.8478747203579419,100,0.7936507936507936
biç,4790,0.750430831897227,218,0.7517241379310344
noktala,1276,0.8400263331138907,130,0.8333333333333334
oyla,1867,0.8368444643657552,116,0.8169014084507042
alkışla,1775,0.8360810174281676,173,0.7828054298642534
yalvar,2030,0.9177215189873418,157,0.8306878306878307
indirge,3491,0.7457808160649434,175,0.7510729613733905
kirala,2462,0.8774055595153243,172,0.8037383177570093
çiğne,2676,0.8045700541190619,208,0.7647058823529411
yavaşla,2569,0.7789569436021831,164,0.7420814479638009
doğrul,5150,0.8129439621152328,224,0.7088607594936709
yanaş,2958,0.8031496062992126,203,0.7574626865671642
haberle,2088,0.8285714285714286,166,0.8177339901477833
yumuşa,3277,0.7767243422611994,184,0.7540983606557377
depola,2805,0.8446251129177959,148,0.8043478260869565
donat,2850,0.6929248723559446,171,0.7434782608695653
yasla,5999,0.7672336615935542,205,0.7347670250896058
küçümse,2831,0.7543298694377831,171,0.76
kıskan,2489,0.8924345643599857,182,0.7428571428571429
yokla,1855,0.7940924657534246,128,0.810126582278481
haykır,1987,0.8858671422202408,173,0.8084112149532711
kıpırda,3376,0.7229122055674518,203,0.6858108108108109
bık,1705,0.8084400189663348,160,0.8
terket,2440,0.7940123657663521,202,0.7984189723320159
kirlen,110,0.9016393442622951,5,0.45454545454545453
abar,5871,0.7882653061224489,221,0.7317880794701986
selamla,785,0.8067831449126414,119,0.85
kararla,5,0.8333333333333334,5,0.8333333333333334
türe,2965,0.7616234266632417,185,0.7312252964426877
kıvır,2467,0.754434250764526,206,0.7832699619771863
bük,2094,0.7532374100719424,185,0.7838983050847458
işaretle,1201,0.8087542087542088,159,0.8548387096774194
heyecanlan,154,0.8953488372093024,43,0.86
ürk,2030,0.8803122289679098,154,0.8105263157894737
düşle,1444,0.8963376784605835,176,0.7652173913043478
fısılda,2195,0.8919138561560341,157,0.7584541062801933
havalan,2827,0.7920986270664051,182,0.7520661157024794
belgele,725,0.8276255707762558,124,0.8266666666666667
kısal,3597,0.7465753424657534,187,0.7276264591439688
kına,1716,0.8597194388777555,153,0.7846153846153846
yuvarla,3093,0.7420825335892515,210,0.7777777777777778
avla,2202,0.7903804737975593,201,0.7613636363636364
çevrele,467,0.771900826446281,69,0.8117647058823529
kavur,1610,0.72262118491921,135,0.7541899441340782
pekiş,3631,0.7291164658634538,170,0.7359307359307359
kovala,1432,0.8872366790582404,157,0.7810945273631841
yum,10924,0.7992390986245245,309,0.6912751677852349
kilitle,2108,0.7601875225387666,166,0.7685185185185185
bağdaş,3031,0.6998383745093512,186,0.6838235294117647
parala,125,0.8741258741258742,47,0.8703703703703703
sark,1299,0.8983402489626556,139,0.8176470588235294
aşağıla,2095,0.7634839650145773,179,0.7955555555555556
kokla,1446,0.8627684964200477,204,0.8031496062992126
çatla,1585,0.8328954282711508,180,0.8108108108108109
terle,1438,0.8051511758118701,165,0.8088235294117647
gereksin,2885,0.7858894034323073,102,0.796875
inle,9881,0.8646307315365769,285,0.6900726392251816
arala,7913,0.7299142145558528,227,0.737012987012987
gevşe,1995,0.7735556417215975,188,0.7932489451476793
kus,1570,0.8845070422535212,197,0.8140495867768595
oyala,2235,0.7454969979986658,186,0.7782426778242678
aksa,2346,0.8534012368133866,168,0.7533632286995515
döşe,1529,0.7062355658198615,147,0.7903225806451613
üre,12944,0.7473441108545035,262,0.6949602122015915
aşıla,1894,0.8132245598969515,185,0.7773109243697479
betimle,2258,0.8758727695888285,168,0.8316831683168316
tap,1464,0.8932275777913362,180,0.821917808219178
hafifle,2785,0.7578231292517007,179,0.7552742616033755
ısır,1402,0.8622386223862238,170,0.8018867924528302
sürt,1221,0.7842003853564548,142,0.8402366863905325
hastalan,1571,0.9133720930232558,168,0.8115942028985508
yeğle,1985,0.925839552238806,149,0.8054054054054054
acık,1716,0.9186295503211992,159,0.8238341968911918
sapla,6553,0.7543455738459768,239,0.7331288343558282
resimle,239,0.7887788778877888,80,0.8421052631578947
küs,1326,0.8215613382899628,175,0.7777777777777778
ağırla,1496,0.8366890380313199,159,0.7910447761194029
